Animal_1,Animal_2,Coeficiente
M008,F001,0.0
M006,F002,0.0
M005,F003,0.0
M006,F004,0.0
M012,F005,0.0
M005,F006,0.0
M003,F007,0.081548
M002,F008,0.0
M012,F009,0.014089
M013,F010,0.0
M011,F011,0.0
M010,F012,0.0
M005,F013,0.0
M005,F014,0.0
M005,F015,0.0
M004,F016,0.0
M010,F017,0.0
M004,F018,0.0
M005,F019,0.0
M011,F020,0.0
M004,F021,0.0
M011,F022,0.0
M005,F023,0.0
M011,F024,0.0
M015,F025,0.037914
M012,F026,0.0
M004,F027,0.0
M002,F028,0.033415
M004,F029,0.0
M006,F030,0.0
M013,F031,0.030878
M010,F032,0.0
M011,F033,0.0
M002,F034,0.0
M008,F035,0.076346
M009,F036,0.0
M010,F037,0.0
M004,F038,0.0
M015,F039,0.0
M006,F040,0.0
M008,F041,0.0
M001,F042,0.0
M010,F043,0.0
M015,F044,0.0
M015,F045,0.0
M012,F046,0.0
M003,F047,0.0
M001,F048,0.0
M004,F049,0.008769
M003,F050,0.0
M001,F051,0.0
M010,F052,0.0
M011,F053,0.0
M010,F054,0.072647
M007,F055,0.0
M009,F056,0.0
M007,F057,0.0
M006,F058,0.0
M006,F059,0.0
M001,F060,0.0
M012,F061,0.0
M011,F062,0.0
M015,F063,0.0
M006,F064,0.018499
M002,F065,0.0
M002,F066,0.0
M014,F067,0.0
M014,F068,0.014073
M009,F069,0.0
M003,F070,0.0
M002,F071,0.0
M009,F072,0.0
M008,F073,0.0
M008,F074,0.0
M001,F075,0.0
M007,F076,0.082695
M015,F077,0.013848
M002,F078,0.0
M013,F079,0.0
M007,F080,0.0
M015,F081,0.0
M008,F082,0.0
M009,F083,0.030421
M008,F084,0.0
M012,F085,0.0
M009,F087,0.0
M001,F088,0.0
M013,F089,0.035644
M003,F090,0.0
M014,F091,0.0
M013,F092,0.059686
M007,F093,0.0
M009,F094,0.0
M001,F095,0.0
M014,F096,0.028923
M012,F098,0.0
M007,F100,0.075258
ESTATÍSTICAS,,
Total de cruzamentos,97,
Média dos coeficientes,0.0074,
Valor objetivo,0.7147,
