iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,0.252686,0.000845,299
2,0.501079,0.001676,299
3,0.502014,0.001679,299
4,0.503641,0.001684,299
5,1.000394,0.003346,299
6,0.000000,0.000000,299
7,0.502686,0.001681,299
8,0.502686,0.001681,299
9,0.503590,0.001684,299
10,0.250349,0.000837,299
11,0.753307,0.002519,299
12,1.252354,0.004188,299
13,0.753205,0.002519,299
14,1.000513,0.003346,299
15,1.759672,0.005885,299
16,0.502289,0.001680,299
17,0.750938,0.002511,299
18,0.754150,0.002522,299
19,1.002350,0.003352,299
20,0.250000,0.000836,299
21,0.253119,0.000847,299
22,0.500317,0.001673,299
23,0.000000,0.000000,299
24,0.000000,0.000000,299
25,0.503119,0.001683,299
26,0.500341,0.001673,299
27,1.000366,0.003346,299
28,0.250000,0.000836,299
29,0.750000,0.002508,299
30,1.006708,0.003367,299
31,1.504505,0.005032,299
32,0.751079,0.002512,299
33,0.501079,0.001676,299
34,1.008251,0.003372,299
35,0.753169,0.002519,299
36,1.510847,0.005053,299
37,1.004137,0.003358,299
38,0.500000,0.001672,299
39,0.253119,0.000847,299
40,1.006113,0.003365,299
41,0.500000,0.001672,299
42,0.750366,0.002510,299
43,1.000000,0.003344,299
44,1.003363,0.003356,299
45,1.004121,0.003358,299
46,0.750869,0.002511,299
47,1.004232,0.003359,299
48,1.250376,0.004182,299
49,0.756584,0.002530,299
50,0.250000,0.000836,299
51,1.254914,0.004197,299
52,0.500145,0.001673,299
53,1.005371,0.003362,299
54,0.502594,0.001681,299
55,0.500000,0.001672,299
56,0.752686,0.002517,299
57,0.250520,0.000838,299
58,0.753292,0.002519,299
59,0.502412,0.001680,299
60,0.754879,0.002525,299
61,1.259588,0.004213,299
62,0.505280,0.001690,299
63,0.253071,0.000846,299
64,0.753412,0.002520,299
65,0.750733,0.002511,299
66,0.500483,0.001674,299
67,0.503292,0.001683,299
68,1.000069,0.003345,299
69,0.250341,0.000837,299
70,1.000349,0.003346,299
71,1.006113,0.003365,299
72,0.500249,0.001673,299
73,0.250000,0.000836,299
74,0.000000,0.000000,299
75,2.008699,0.006718,299
76,0.505997,0.001692,299
77,1.258762,0.004210,299
78,0.250000,0.000836,299
79,1.506466,0.005038,299
80,0.250000,0.000836,299
81,1.006830,0.003367,299
82,0.500957,0.001675,299
83,0.250376,0.000837,299
84,1.256012,0.004201,299
85,0.000000,0.000000,299
86,1.252585,0.004189,299
87,0.250249,0.000837,299
88,1.002672,0.003353,299
89,1.501382,0.005021,299
90,0.759876,0.002541,299
91,0.750739,0.002511,299
92,0.500341,0.001673,299
93,0.754258,0.002523,299
94,1.003437,0.003356,299
95,1.253292,0.004192,299
96,1.004247,0.003359,299
97,1.000869,0.003347,299
98,0.500000,0.001672,299
99,0.500249,0.001673,299
100,0.503205,0.001683,299
101,1.000520,0.003346,299
102,0.252832,0.000846,299
103,0.500249,0.001673,299
104,0.250376,0.000837,299
105,0.500938,0.001675,299
106,0.754241,0.002523,299
107,0.250393,0.000837,299
108,0.754686,0.002524,299
109,0.250520,0.000838,299
110,0.751522,0.002513,299
111,0.253292,0.000847,299
112,0.500000,0.001672,299
113,1.004555,0.003360,299
114,1.004256,0.003359,299
115,0.750000,0.002508,299
116,0.501079,0.001676,299
117,0.751216,0.002512,299
