iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,5.923664,0.059237,100
2,2.458629,0.024586,100
3,2.395707,0.023957,100
4,3.238400,0.032384,100
5,2.930303,0.029303,100
6,3.967189,0.039672,100
7,3.120274,0.031203,100
8,4.107111,0.041071,100
9,3.811224,0.038112,100
10,4.385706,0.043857,100
11,2.484680,0.024847,100
12,4.045094,0.040451,100
13,3.254543,0.032545,100
14,3.303426,0.033034,100
15,4.271186,0.042712,100
16,3.765814,0.037658,100
17,4.362402,0.043624,100
18,3.805790,0.038058,100
19,3.545182,0.035452,100
20,4.104312,0.041043,100
21,3.119213,0.031192,100
22,4.109733,0.041097,100
23,4.600900,0.046009,100
24,3.485799,0.034858,100
25,1.830441,0.018304,100
26,3.531678,0.035317,100
27,2.653684,0.026537,100
28,2.629186,0.026292,100
29,3.448651,0.034487,100
30,2.693791,0.026938,100
31,4.377256,0.043773,100
32,4.083421,0.040834,100
33,3.622633,0.036226,100
34,2.652773,0.026528,100
35,3.036883,0.030369,100
36,4.421755,0.044218,100
37,4.420828,0.044208,100
38,4.126007,0.041260,100
39,3.999519,0.039995,100
40,3.641379,0.036414,100
41,2.413426,0.024134,100
42,1.938937,0.019389,100
43,2.558673,0.025587,100
44,4.298559,0.042986,100
45,2.267570,0.022676,100
46,4.472425,0.044724,100
47,3.357618,0.033576,100
48,4.103934,0.041039,100
49,3.372131,0.033721,100
50,4.273512,0.042735,100
