Animal_1,Animal_2,Coeficiente
M004,F001,0.0
M006,F002,0.0
M005,F003,0.0
M001,F004,0.0
M009,F005,0.0
M002,F006,0.0
M015,F007,0.024382
M002,F008,0.0
M003,F009,0.0
M001,F010,0.0
M007,F011,0.0
M002,F012,0.0
M003,F013,0.0
M005,F014,0.0
M001,F015,0.0
M004,F016,0.0
M002,F017,0.0
M001,F018,0.0
M005,F019,0.0
M011,F020,0.0
M001,F021,0.0
M004,F022,0.0
M005,F023,0.0
M011,F024,0.0
M002,F025,0.0
M005,F026,0.0
M003,F027,0.0
M003,F028,0.0
M004,F029,0.0
M006,F030,0.0
M005,F031,0.0
M004,F032,0.0
M004,F033,0.0
M002,F034,0.0
M009,F035,0.0
M005,F036,0.0
M004,F037,0.0
M002,F038,0.0
M014,F039,0.0
M006,F040,0.0
M008,F041,0.0
M001,F042,0.0
M009,F043,0.0
M009,F044,0.0
M009,F045,0.0
M008,F046,0.0
M003,F047,0.0
M001,F048,0.0
M006,F049,0.0
M003,F050,0.0
M006,F051,0.0
M010,F052,0.0
M011,F053,0.0
M007,F054,0.0
M007,F055,0.0
M009,F056,0.0
M007,F057,0.0
M006,F058,0.0
M003,F059,0.0
M006,F060,0.0
M010,F061,0.0
M010,F062,0.0
M011,F063,0.0
M008,F064,0.0
M015,F065,0.095902
M007,F066,0.0
M012,F067,0.0
M014,F068,0.014073
M008,F069,0.0
M015,F070,0.0
M012,F071,0.0
M009,F072,0.0
M008,F073,0.0
M008,F074,0.0
M008,F075,0.0
M007,F076,0.082695
M015,F077,0.013848
M010,F078,0.0
M013,F079,0.0
M007,F080,0.0
M012,F081,0.0
M015,F082,0.239879
M015,F083,0.074386
M014,F084,0.0
M011,F085,0.0
M014,F086,0.0
M014,F087,0.0
M013,F088,0.036101
M010,F089,0.000772
M011,F090,0.0
M014,F091,0.0
M013,F092,0.059686
M011,F093,0.020058
M010,F094,0.0
M010,F095,0.090018
M015,F096,0.0
M012,F097,0.092735
M012,F098,0.0
M012,F099,0.0
M014,F100,0.535345
